Owners,AppID,Name,Type,Changed,Kinguin,Achievements
0.24%,771960,Lily ????????? Lisblanc,Purchase disabled,02/2023,,0
0.24%,816130,Shadows: Awakening Beta,Test app,11/2021,,?
0.24%,886520,HopeLine,Purchase disabled,08/2022,,?
0.24%,972780,Broomstick League,Delisted,04/2020,,72
0.24%,978180,Stay Silent,Purchase disabled,09/2021,,27
0.24%,1336050,????,Delisted,01/2021,,?
0.24%,1404350,Eden: New Dawn,Purchase disabled,12/2021,,?
0.24%,1544080,Counter Fight ICHIRAN,Purchase disabled,09/2023,,?
0.24%,1994810,MOMENTUM,Purchase disabled,11/2022,,?
0.24%,2240860,Harry Potter: Quidditch Champions Playtest,Test app,08/2023,,?
0.23%,340530,Soccer Legends,Purchase disabled,,,24
0.23%,460590,Nanotris,Delisted,09/2017,,12
0.23%,538510,Trickshot,Delisted,05/2023,,50
0.23%,611300,Task Force,Purchase disabled,10/2022,,0
0.23%,755360,Smart Junior Academy - Spring,Purchase disabled,03/2021,,0
0.23%,943150,Nostos,Purchase disabled,03/2021,,12
0.23%,1036420,Command: Desert Storm,Purchase disabled,11/2019,,0
0.23%,1096400,A Year Of Rain Test,Test app,05/2019,,?
0.23%,1102730,Lost Action Hero,Unreleased,11/2019,,?
0.23%,1247330,Exploring Paradise Island,Delisted,10/2020,,?
0.23%,1344830,Open The Chest 2,Purchase disabled,02/2021,,11
0.23%,1389520,Cinderstone Online,Purchase disabled,11/2023,,?
0.23%,1610250,Zombie Total War,Delisted,03/2022,,?
0.23%,1772270,Flappy Octane,Purchase disabled,04/2023,,27
0.23%,1875250,Hentai Jigsaw Puzzle 2,Delisted,06/2022,,36
0.23%,1985700,Spiritus,Purchase disabled,05/2022,,?
0.22%,345790,Bridge Creator 2015,Purchase disabled,04/2019,,0
0.22%,454370,Battlecursed,Purchase disabled,06/2018,,0
0.22%,464000,Arcade Saga,Purchase disabled,05/2019,,72
0.22%,552600,Outscape,Purchase disabled,10/2020,,24
0.22%,578820,Klaus Lee Thunder in Down Under,Delisted,03/2022,,?
0.22%,640100,BATTALION 1944 TEST ZONE,Test app,02/2018,,?
0.22%,989870,Northern Tales,Purchase disabled,04/2023,,17
0.22%,1735940,FlightChess,Purchase disabled,11/2022,,?
0.22%,2022410,RoadRace,Unreleased,03/2023,,1
0.22%,38060,Risk II,Delisted,,,0
0.22%,396450,One-eyed Jak,Delisted,01/2019,,0
0.22%,456720,Angus Hates Aliens,Delisted,12/2017,,6
0.22%,476930,FourChords Guitar Karaoke,Purchase disabled,06/2020,,29
0.22%,715800,Check Your 6!,Purchase disabled,04/2020,,20
0.22%,804910,Mine Seeker,Purchase disabled,06/2022,,24
0.22%,971130,Anubis' Challenge,Purchase disabled,12/2019,,19
0.22%,1031380,Long Z-Night,Purchase disabled,08/2019,,16
0.22%,1386080,Hikaru's Imagination Rebellion,Unreleased,09/2020,,?
0.22%,1408170,Copyrightetwis,Unreleased,09/2020,,?
0.22%,1413830,Covid-19 BlockCure,Unreleased,09/2020,,?
0.22%,1811720,Escape the room,Delisted,03/2022,,?
0.21%,6330,Age of Conan: Hyborian Adventures,Delisted,,,?
0.21%,7990,Monster Jam,Delisted,,,0
0.21%,11520,Brian Lara International Cricket 2007,Delisted,,,?
0.21%,374170,Sniper Tactical,Purchase disabled,10/2019,,11
0.21%,396700,Hover Cubes: Arena,Purchase disabled,12/2018,,29
0.21%,444240,Tankr,Delisted,07/2017,,22
0.21%,563860,The Edgelands,Purchase disabled,07/2022,,24
0.21%,581930,Desert Storm,Delisted,01/2017,,?
0.21%,588410,Virtual Sports,Purchase disabled,05/2019,,0
0.21%,739780,LVL99: AxeRage,Purchase disabled,11/2022,,31
0.21%,743140,Pillars of Eternity II: Deadfire - Closed Beta,Retail only,11/2017,,?
0.21%,801300,Digital Diamond Baseball V7,Purchase disabled,04/2023,,0
0.21%,839170,Paradox of the Cryptomancers,Purchase disabled,09/2021,,20
0.21%,840820,Ready Or Not [Archived],Test app,12/2021,,?
0.21%,898390,Megalith,Purchase disabled,10/2022,,35
0.21%,950600,Zoological Era,Purchase disabled,08/2021,,?
0.21%,1040940,Protocol VR,Purchase disabled,07/2022,,51
0.21%,1057120,Mahjong Infinity,Purchase disabled,01/2022,,?
0.21%,1058040,My University Story/??????,Delisted,08/2019,,?
0.21%,1182080,????,Purchase disabled,10/2023,,?
0.21%,1229810,Slender: The Eight Pages REMAKE,Delisted,11/2022,,7
0.21%,1382130,Lovely Warriors of Friendship,Unreleased,09/2020,,?
0.21%,1601080,King of Heroes,Purchase disabled,02/2023,,?
0.21%,1836490,Summer Numbers,Purchase disabled,03/2022,,16
0.21%,1842910,Groove Fit Island!!,Purchase disabled,11/2023,,97
0.21%,2022450,TrackRace,Unreleased,03/2023,,1
0.20%,328240,Crossfire Europe,F2P (unavailable),05/2016,,?
0.20%,376500,Battleborn Closed Technical Test,Test app,10/2015,,?
0.20%,418050,FALL,Purchase disabled,04/2023,,0
0.20%,445860,Toy Plane Heroes,Purchase disabled,09/2023,,0
0.20%,595360,NIGHTSTAR: Rogue Wings,Purchase disabled,09/2019,,0
0.20%,605760,gRally,Purchase disabled,05/2023,,2
0.20%,635550,Nocturnal Hunt,Purchase disabled,07/2020,,18
0.20%,690310,SiegeVR,Purchase disabled,08/2022,,18
0.20%,739810,Odd Island,Purchase disabled,04/2020,,?
0.20%,789520,Warz: Horde,Purchase disabled,01/2022,,?
0.20%,846490,Dragon Defense,Purchase disabled,06/2023,,0
0.20%,875230,Good Girl,Purchase disabled,11/2018,,1
0.20%,879120,ClusterDisaster,Purchase disabled,02/2020,,20
0.20%,900020,Construction Truck Simulator,Delisted,10/2020,,?
0.20%,951070,Zero spring episode 1 Japanese version,Purchase disabled,03/2019,,0
0.20%,1010180,Space Rabbits in Space,Purchase disabled,02/2020,,15
0.20%,1058150,Twinkle Star - ?????????????,Purchase disabled,04/2021,,?
0.20%,1159990,?????,Purchase disabled,06/2020,,0
0.20%,1183660,Snowman,Purchase disabled,09/2020,,?
0.20%,1185560,Astellia,Purchase disabled,08/2021,39.11,52
0.20%,1270590,Falcon City,Purchase disabled,04/2022,,9
0.20%,1819340,SUL 3D - SchÅtze Unser Land,Purchase disabled,11/2022,,?
0.20%,1859730,Forest,Delisted,06/2023,,?
0.20%,2248070,Ai Dawn,Purchase disabled,04/2023,,?
0.19%,12860,Ashes Cricket 2009,Delisted,,,?
0.19%,16480,F.E.A.R. 2: Project Origin JP,Retail only,,,?
0.19%,21750,CSI: NY - The Game,Delisted,,,?
0.19%,314530,Aware,Delisted,09/2019,,0
0.19%,744390,"Yago, the Coquerrestrial",Purchase disabled,06/2018,,0
0.19%,1193580,Perfect Harmony,Delisted,03/2020,,?
0.19%,1230790,Empty Universe,Purchase disabled,05/2021,,?
0.19%,1231180,MEDAL OF LEGENDS,Purchase disabled,09/2022,,?
0.19%,1405040,GoVenture Entrepreneur,Purchase disabled,10/2023,,?
0.19%,1424840,FUCK OR DIE,Purchase disabled,08/2022,,?
0.19%,1435610,Master of Miracles,Purchase disabled,07/2023,,?
0.19%,1822610,??????,Unreleased,11/2021,,?
0.19%,2067450,Droid Warfare,Purchase disabled,01/2023,,?
0.19%,2351900,Wish Us Luck,Unreleased,09/2023,,?
0.19%,321860,Disney Infinity 2.0,Delisted,12/2016,,?
0.19%,322460,Winning Post 8 2015,Delisted,03/2019,,?
0.19%,434710,Valley of Death,Delisted,12/2016,,?
0.19%,521420,Bunka no Kenkyu - Revival of Queen Leyak -,Purchase disabled,05/2022,,0
0.19%,538870,EVE: Valkyrie,Delisted,09/2017,,33
0.19%,551720,Unearthed Inc: The Lost Temple,Purchase disabled,08/2018,,8
0.19%,574230,Mitosis,Delisted,03/2018,,12
0.19%,696840,PRESim,Purchase disabled,12/2022,,0
0.19%,777870,While I Sleep I am Debug,Purchase disabled,05/2023,,6
0.19%,848760,CORRUPTION,Delisted,10/2019,,13
0.19%,889330,Nerved,Purchase disabled,06/2021,,8
0.19%,985920,Mining Empire: Earth Resources,Purchase disabled,01/2022,,19
0.19%,1274160,fine DUST,Purchase disabled,08/2020,,?
0.19%,1977550,Under Waves,Purchase disabled,09/2023,,?
0.19%,2209030,Scrapbox,Unreleased,05/2023,,?
0.18%,40000,Fallen Earth,Delisted,,,559
0.18%,256440,Monsters & Munitions,Purchase disabled,,,0
0.18%,344180,Valiant,Purchase disabled,06/2017,,0
0.18%,500930,Football VR,Delisted,06/2017,,?
0.18%,836400,Basketball Hero VR,Purchase disabled,08/2020,,?
0.18%,850810,Kara's Darkness Chapter 1,Purchase disabled,11/2019,,9
0.18%,963200,PixNautiCraft,Purchase disabled,12/2018,,?
0.18%,1127310,HelixVision,Purchase disabled,12/2022,,?
0.18%,1191500,Spire of Sorcery (Limited Early Access),Purchase disabled,10/2021,,0
0.18%,1202210,Stray Blade PRE-ALPHA,Test app,11/2019,,?
0.18%,1260230,Scrolor,Purchase disabled,11/2022,,5
0.18%,1455410,Sparks - Episode One,Purchase disabled,11/2021,,?
0.18%,1530460,Escape Simulator - Alpha,Test app,01/2021,,?
0.18%,1857780,Cursed Quest,Purchase disabled,07/2023,,?
0.17%,242360,Football Manager 2014 Korean,Retail only,,,?
0.17%,327100,Forge: Ymil's Revenge,Delisted,,,?
0.17%,392700,GlÅck Auf,Delisted,02/2018,,?
0.17%,540390,Project 1v1 Closed Technical Test,Test app,08/2020,,?
0.17%,587770,4x4 Road Race,Purchase disabled,09/2020,,0
0.17%,678990,Citadel: Forged With Fire (Beta),F2P (unavailable),07/2017,,?
0.17%,697340,Fairy Light,Delisted,02/2019,,?
0.17%,728070,Shark Week: Operation Apex,Purchase disabled,11/2021,,11
0.17%,729220,Save me Mr Tako: Tasukete Tako-San,Purchase disabled,10/2020,,50
0.17%,940540,Generation Zero© BETA,Test app,08/2019,,?
0.17%,1005260,Wave Break (Closed Public Alpha Test),Test app,04/2019,,?
0.17%,1245930,Flaming Friday Night,Purchase disabled,06/2021,,33
0.17%,1378720,When They Took Me,Purchase disabled,02/2021,,7
0.17%,2391380,Life Of Pi,Delisted,05/2023,,?
0.17%,17800,SpellForce 2: Shadow Wars,Delisted,,,0
0.17%,17810,SpellForce 2: Dragon Storm,Delisted,,,0
0.17%,48120,The Settlers 7: Paths to a Kingdom,Delisted,,4.91,0
0.17%,50900,Professor FizzWhizzle,Delisted,,,?
0.17%,71310,Football Manager 2012 Korean,Retail only,,,?
0.17%,506630,Unfazed,Purchase disabled,08/2020,,0
0.17%,517070,Might & Magic Showdown,Delisted,07/2017,,0
0.17%,520400,XMODULE,Delisted,02/2018,,?
0.17%,579850,Decksplash Alpha,Test app,11/2017,,?
0.17%,1181720,Labirint,Purchase disabled,10/2022,,?
0.17%,1208540,Royale Age: Battle of Kings,Purchase disabled,06/2022,,18
0.17%,1377980,RX Racing 2020 Pro,Purchase disabled,07/2022,,?
0.17%,1412750,Gummy Bear Mafia,Purchase disabled,03/2021,,?
0.17%,1425800,A Tale of Synapse: The Chaos Theories,Delisted,02/2022,,?
0.17%,1553280,Breadly's Grandma Rescue,Purchase disabled,08/2022,,?
0.17%,1634780,Lovin House,Purchase disabled,05/2023,,?
0.17%,2258440,Medieval Dungeon,Purchase disabled,01/2023,,?
0.16%,6340,Age of Conan: Hyborian Adventures,Delisted,06/2016,,?
0.16%,12300,Baseball Mogul 2008,Delisted,,,0
0.16%,21080,Terminator Salvation,Delisted,,,0
0.16%,38050,Risk,Delisted,,,0
0.16%,339530,Factions: Origins of Malu,Purchase disabled,,,0
0.16%,626500,30th Century Post Office,Purchase disabled,05/2020,,0
0.16%,740740,CRUSH & SQUASH,Purchase disabled,04/2023,,0
0.16%,808270,Bomb Bomb! My Friends,Purchase disabled,09/2023,,15
0.16%,859420,Deflection Dimension,Purchase disabled,12/2022,,43
0.16%,947500,ColonyShip-4: Survivors,Unreleased,09/2020,,?
0.16%,967470,HENTAI Arcade: Lustful Girls,Unreleased,11/2018,,?
0.16%,970240,Dr. Schplot's Nanobots,Purchase disabled,10/2019,,?
0.16%,987630,Opencast Mining,Purchase disabled,01/2022,,16
0.16%,1056290,Soul Island,Purchase disabled,04/2020,,?
0.16%,1080100,Desperados III Closed Beta,Test app,06/2020,,?
0.16%,1235310,Exhaust,Purchase disabled,05/2020,,8
0.16%,1355300,Swallow The Blue,Purchase disabled,12/2020,,?
0.16%,1917020,COVID_KILLER,Purchase disabled,08/2023,,?
0.16%,2070310,??????,Purchase disabled,06/2023,,?
0.16%,2122690,Necroa Village,Purchase disabled,04/2023,,?
0.16%,2182700,Echo Divide,Purchase disabled,04/2023,,?
0.16%,2422010,Project Harmony,Test app,06/2023,,?
0.15%,55210,HOMEFRONT - Japanese,Retail only,,,?
0.15%,432080,OUTBREAK,Unreleased,01/2019,,?
0.15%,435210,Intergalactic Road Warriors,Delisted,05/2017,,0
0.15%,672220,Unlimited,Purchase disabled,04/2018,,0
0.15%,768470,Battlemage,Purchase disabled,09/2019,,?
0.15%,927360,KeepShopkeeping 2,Unreleased,06/2019,,?
0.15%,981320,Whale Island,Purchase disabled,01/2022,,?
0.15%,989050,Elleros Origins: Season I,Purchase disabled,09/2019,,6
0.15%,1072660,Loco Parentis VR,Purchase disabled,07/2022,,17
0.15%,1080310,Humans 101,Purchase disabled,03/2020,,?
0.15%,1119610,The Wednesday,Purchase disabled,07/2022,,6
0.15%,1413840,Crappy School Removal,Unreleased,09/2020,,?
0.15%,1489690,Bakery Magnate: Online,Purchase disabled,04/2021,,?
0.15%,2094430,Angra,Purchase disabled,08/2023,,?
0.15%,2115730,Monsterstone: Prelude,Purchase disabled,10/2022,,?
0.14%,7980,Soldier of Fortune: Payback,Delisted,,,0
0.14%,37900,Boggle,Delisted,,,0
0.14%,37910,Battleship,Delisted,,,?
0.14%,65260,Engine Driver: Drive a Steam Train,Delisted,,,?
0.14%,502950,Slider Quest,Delisted,09/2017,,?
0.14%,558030,ROBUST ROAD ROLLER,Purchase disabled,03/2020,,15
0.14%,596370,Turn,Purchase disabled,06/2018,,10
0.14%,624830,Battle Summoners,Purchase disabled,09/2018,,21
0.14%,636690,Sociable Soccer,Delisted,06/2019,,0
0.14%,796570,LiberationTeam,Unreleased,09/2020,,?
0.14%,943130,Cattle Call: Hollywood Talent Manager,Purchase disabled,06/2021,,0
0.14%,976950,Defeat the Beat,Purchase disabled,10/2020,,?
0.14%,985040,NPCs,Purchase disabled,11/2019,,?
0.14%,1064000,????-??????????,Delisted,04/2019,,?
0.14%,1127320,Railroads,Purchase disabled,02/2020,,28
0.14%,1287980,Eternal Vortex,Purchase disabled,07/2020,,10
0.14%,1324570,Pet Girl,Delisted,07/2020,,?
0.14%,1567960,Chronicles of Elmyra,Purchase disabled,11/2021,,?
0.14%,1654460,War Stained,Delisted,08/2021,,?
0.14%,1681580,Draken,Purchase disabled,12/2022,,?
0.14%,1969140,Deep,Purchase disabled,01/2023,,?
0.14%,2066970,Internet 3.0 Cyberspace VR,Unreleased,07/2022,,?
0.14%,2276580,Beef Jerky,Purchase disabled,05/2023,,?
0.14%,6820,Commandos: Strike Force,Delisted,,,?
0.14%,7470,Simplz Zoo,Delisted,,,18
0.14%,10400,Sega Rally,Delisted,,,?
0.14%,16090,Gemsweeper,Delisted,,,0
0.14%,29640,Aion,Delisted,,,0
0.14%,34860,MotorM4X: Offroad Extreme,Delisted,,,?
0.14%,42830,Achtung Panzer - Kharkov 1943,Delisted,,,?
0.14%,61230,Red Bull X-Fighters,Delisted,,,0
0.14%,223140,Risen 2 Dark Waters JP,Retail only,,,?
0.14%,237510,Company of Heroes 2 - Limited Free Trial,Test app,05/2013,,?
0.14%,321210,Blade Symphony Beta,Test app,08/2014,,?
0.14%,395310,Virtual Pool,Delisted,,,?
0.14%,542530,?????,Delisted,12/2016,,?
0.14%,674010,Loneliness Early Acess,Purchase disabled,05/2019,,0
0.14%,740580,Helhats,Unreleased,05/2020,,?
0.14%,761510,Railway Construction Simulator,Delisted,10/2020,,?
0.14%,860360,Kogent Defender,Purchase disabled,10/2018,,8
0.14%,950490,INFILTRIA,Purchase disabled,11/2020,,20
0.14%,1014060,Kiss me,Unreleased,08/2019,,?
0.14%,1040150,Frame Of Reference,Purchase disabled,01/2023,,?
0.14%,1176640,Frostpoint VR: Proving Grounds,Purchase disabled,05/2021,,?
0.14%,1239330,Showdown Party,Unreleased,08/2022,,?
0.14%,1260610,Andarigas,Purchase disabled,09/2020,,12
0.14%,1330610,The Last Farm,Purchase disabled,11/2020,28.85,?
0.14%,1506010,Agent Roswell : Tactics,Purchase disabled,06/2023,,?
0.14%,1943540,PIMP Island,Purchase disabled,01/2023,,?
0.14%,2183180,BACCHANALIA,Purchase disabled,04/2023,,?
0.13%,15260,Chessmaster: Grandmaster Edition,Delisted,,,?
0.13%,20590,League of Legends,Delisted,,,?
0.13%,293820,Us and the Game Industry (2014),Delisted,,,?
0.13%,420600,Worlds Adrift Alpha,Test app,05/2017,,?
0.13%,558020,JETPACK PORTER,Purchase disabled,04/2020,,11
0.13%,560010,Starship Survivor,Purchase disabled,09/2021,,14
0.13%,665190,Descenders Beta,Test app,02/2018,,?
0.13%,772050,B17 PVP,Test app,12/2017,,?
0.13%,881000,Beholder 2 Beta,Test app,12/2018,,?
0.13%,922190,Beat Champion,Purchase disabled,06/2020,,45
0.13%,952600,Fireflies,Purchase disabled,04/2020,,21
0.13%,952930,ArmZ VR,Purchase disabled,07/2022,,12
0.13%,1001380,SNAILS,Purchase disabled,01/2019,,?
0.13%,1043130,Flavortown:VR,Purchase disabled,03/2020,,10
0.13%,1140340,x???? x girl escape,Delisted,05/2020,,0
0.13%,1200590,The Sword,Purchase disabled,08/2021,,?
0.13%,1206730,Tower of Arcana,Purchase disabled,11/2020,,?
0.13%,1269940,Dawn at my Neighbourhood,Purchase disabled,12/2020,,19
0.13%,1275650,Mini Railway,Delisted,06/2020,,?
0.13%,1361290,Splash King's Tournament,Purchase disabled,03/2022,,?
0.13%,1671080,Icarus Beta,Test app,04/2022,,?
0.13%,1745400,League Manager 2022,Purchase disabled,01/2023,,?
0.13%,2215100,Balloon Man,Purchase disabled,05/2023,,?
0.13%,2224240,Testimonies,Purchase disabled,04/2023,,?
0.12%,21070,Wanted: Weapons of Fate,Delisted,,,0
0.12%,389120,10 Minute Barbarian,Purchase disabled,03/2019,,10
0.12%,559970,Shrouded Tales: The Spellbound Land Collector's Edition,Purchase disabled,03/2019,,0
0.12%,598050,Ominous Objects: Family Portrait Collector's Edition,Purchase disabled,03/2019,,0
0.12%,642680,Treasure Bolt,Purchase disabled,05/2020,,0
0.12%,708110,Smash Bash Crash,Purchase disabled,09/2023,,0
0.12%,743300,Stormdivers Community Test,Test app,09/2018,,?
0.12%,752790,Danger Close!,Purchase disabled,08/2021,,25
0.12%,781380,SOS Atlas,Purchase disabled,08/2020,,?
0.12%,838150,Falling Slime,Purchase disabled,08/2023,,0
0.12%,906080,????_Victory Project,Unreleased,01/2019,,?
0.12%,955260,Island Invasion,Purchase disabled,06/2022,,21
0.12%,1003000,Punishment Darkness Online,Purchase disabled,03/2021,,?
0.12%,1006510,Devotion,Delisted,02/2019,,9
0.12%,1018880,YOU CAN'T FUCK ON AN EMPTY STOMACH,Purchase disabled,05/2021,,0
0.12%,1022870,Luminos,Purchase disabled,02/2020,,13
0.12%,1036010,polyfuru feat. MIYA KIMINO / ???? feat. ?????,Purchase disabled,12/2021,,?
0.12%,1110830,???? Project Dunk,Purchase disabled,03/2020,,0
0.12%,1128380,Block Tuner VERSION POOP,Purchase disabled,08/2021,,?
0.12%,1159950,Hi Gay,Unreleased,10/2019,,?
0.12%,1195390,My Secret Girlfriends ;),Purchase disabled,10/2020,,?
0.12%,1342280,Story in the Dream World 2 -Water Gods and Spirits-,Purchase disabled,11/2020,,?
0.12%,1400450,Dino Eruption,Purchase disabled,05/2023,,9
0.12%,1408960,The_Good_Book_VN,Purchase disabled,04/2021,,?
0.12%,1761230,Frontier of Fortune,Purchase disabled,05/2022,,?
0.12%,1866650,Cats And Jigsaws,Unreleased,02/2022,,?
0.12%,1867840,????,Purchase disabled,07/2022,,?
0.12%,1897020,It's Full of Stars,Unreleased,08/2022,,?
0.12%,7900,The Movies,Delisted,,,0
0.12%,29650,Aion Collectors Edition,Delisted,,,0
0.12%,29660,Aion,Delisted,,,?
0.12%,226760,Rugby Challenge 2,Delisted,,,?
0.12%,787410,BoomTris,Purchase disabled,01/2020,,?
0.12%,794710,??VR ???? ? Wedding VR : Yamato,Purchase disabled,06/2023,,0
0.12%,794730,??VR ???? ? Wedding VR : Masamune,Purchase disabled,06/2023,,0
0.12%,805000,Dark Tales?: Edgar Allan Poe's The Mystery of Marie Roget Collector's Edition,Purchase disabled,03/2019,,0
0.12%,865250,Phase Shift,Purchase disabled,05/2019,,9
0.12%,977920,BALSA Model Flight Simulator,Purchase disabled,03/2023,,?
0.12%,1473570,Sexy-H Jigsaw Puzzle,Unreleased,12/2020,,?
0.12%,1559560,Dream's Reach: Village of the Gods,Purchase disabled,09/2021,,3
0.12%,2326120,Radiated Life,Unreleased,05/2023,,?
0.12%,2514600,Black silk girl,Unreleased,07/2023,,?
0.11%,7450,Ricochet Infinity,Delisted,,,0
0.11%,7910,The Movies: Stunts and Effects,Delisted,,,0
0.11%,12400,Baseball Mogul 2009,Delisted,,,0
0.11%,21610,MotoGP 08,Delisted,,,?
0.11%,24600,Trainz 2009: Railroad Simulator,Delisted,,,?
0.11%,33270,Cloudy with a Chance of Meatballs,Delisted,,,?
0.11%,382970,RISK - The game of Global Domination - The Official 2016 Edition,Delisted,03/2017,,?
0.11%,499070,Pro Strategy Football 2016,Purchase disabled,10/2019,,0
0.11%,499280,Clutter V: Welcome To Clutterville,Delisted,01/2017,,?
0.11%,527140,Totally Accurate Battle Simulator Pre-Alpha,Pre-order exclusive,09/2016,,?
0.11%,560450,Tales of Berseria? Special Chapter Skit,Pre-order exclusive,01/2017,,?
0.11%,565100,Subliminal Realms: The Masterpiece Collector's Edition,Purchase disabled,03/2019,,0
0.11%,565630,Christmas Eve: Midnight's Call Collector's Edition,Purchase disabled,03/2019,,0
0.11%,601960,Under That Rain,Delisted,11/2017,,11
0.11%,631280,Redemption Cemetery: The Island of the Lost Collector's Edition,Purchase disabled,03/2019,,0
0.11%,729910,Sable Maze: Norwich Caves Collector's Edition,Purchase disabled,03/2019,,0
0.11%,794720,??VR ?????A?????? ? Wedding VR : Henry,Purchase disabled,06/2023,,0
0.11%,817520,??????????,Purchase disabled,06/2020,,?
0.11%,826440,Sable Maze: Forbidden Garden Collector's Edition,Purchase disabled,03/2019,,0
0.11%,953640,Gyro Buster,Purchase disabled,11/2020,,30
0.11%,1165190,Pingin,Delisted,05/2020,,?
0.11%,1344390,Unity Testing Grounds,Unreleased,10/2022,,?
0.11%,1398320,Remalmok,Purchase disabled,12/2021,,?
0.11%,2055970,Boss Hunter,Purchase disabled,04/2023,,?
0.11%,2436590,T10X Simulator,Unreleased,11/2023,,?
0.10%,38030,Jo Jo's Fashion Show,Delisted,,,0
0.10%,38040,Jo Jo's Fashion Show 2,Delisted,,,0
0.10%,40370,Emergency 2012,Delisted,,,0
0.10%,290630,Eden River HD - A Virtual Reality Relaxation Experience,Delisted,,,?
0.10%,328720,Ghost Song Demo,Retail only,10/2014,,?
0.10%,532820,Iron Fish,Delisted,06/2018,,?
0.10%,534740,Icity,Purchase disabled,01/2019,,0
0.10%,660570,Million Arthur VR: Character Command RPG,Purchase disabled,12/2022,,0
0.10%,738820,Kubik,Purchase disabled,01/2019,,0
0.10%,838760,Haunted Legends: The Stone Guest Collector's Edition,Purchase disabled,03/2019,,0
0.10%,858530,Cat Lady,Purchase disabled,06/2020,,30
0.10%,914240,Atomic Rancher,Purchase disabled,03/2020,,?
0.10%,936560,Cubeverse,Purchase disabled,08/2022,,?
0.10%,985210,Rape Day,Unreleased,03/2019,,?
0.10%,1114540,RANCID,Delisted,12/2020,,?
0.10%,1212380,SpaceGeon,Purchase disabled,11/2021,,?
0.10%,1476890,Text Twisted Pro,Purchase disabled,04/2023,,?
0.10%,1488390,AKMAL,Delisted,07/2021,,?
0.10%,1495480,Galaxy V,Purchase disabled,03/2021,,?
0.10%,1642800,Miss Intelligence,Purchase disabled,06/2022,,9
0.10%,1846870,Super Kit: TO THE TOP,Purchase disabled,09/2022,,?
0.10%,1927160,?????,Purchase disabled,02/2023,,?
0.09%,21920,Wheelman,Delisted,,,?
0.09%,25870,Stalin vs. Martians,Delisted,,,0
0.09%,42660,Shrek Forever After,Delisted,,,0
0.09%,670060,Defenders of Ekron,Purchase disabled,08/2018,,12
0.09%,699830,Dummy Life,Purchase disabled,12/2018,,0
0.09%,763270,Fritz Chess 16 Steam Edition,Purchase disabled,10/2022,,0
0.09%,888930,Worbital Beta,Test app,06/2018,,?
0.09%,978020,You are Never Alone,Purchase disabled,05/2020,,?
0.09%,1013430,TetrotronVR,Purchase disabled,09/2022,,?
0.09%,1030410,Cryptrunner,Purchase disabled,06/2019,,?
0.09%,1034580,MATCH,Unreleased,02/2021,,?
0.09%,1091050,Lilit H Project,Purchase disabled,12/2020,,?
0.09%,1118800,Chasing Nebula,Purchase disabled,02/2021,,22
0.09%,1138620,??????OL,Delisted,09/2019,,?
0.09%,1214930,Brain vs Zombies,Unreleased,10/2021,,?
0.09%,1227730,Myridian,Purchase disabled,04/2022,,?
0.09%,1249210,STRIDE Multiplayer,F2P (unavailable),06/2022,,?
0.09%,1402480,NARAKA: BLADEPOINT - Test Server,Test app,12/2021,,?
0.09%,1501440,Fritz & Chesster - Learn to Play Chess Vol. 1,Purchase disabled,04/2023,,?
0.09%,1655400,Bassmaster Fishing 2022 Closed Beta,Test app,08/2021,,?
0.09%,2064580,Hausmeister,Purchase disabled,09/2023,,?
0.09%,24140,Pirates of the Burning Sea,Delisted,,,?
0.09%,29670,Aion Collectors Edition,Delisted,,,?
0.09%,73000,Lionheart - Kings' Crusade Demo,Delisted,10/2016,,?
0.09%,230250,The Showdown Effect Beta,Test app,10/2016,,?
0.09%,248590,Black Annex,Unreleased,12/2021,,?
0.09%,459430,PLAYERUNKNOWN'S BATTLEGROUNDS (Beta),Test app,03/2017,,?
0.09%,488350,The Karters,Purchase disabled,01/2023,,0
0.09%,602560,Forged Adventure,Delisted,01/2018,,10
0.09%,652520,MarionetteAI,Purchase disabled,12/2019,,42
0.09%,671480,MokMok,Purchase disabled,12/2018,,0
0.09%,709590,Farkle Friends,Purchase disabled,06/2022,,0
0.09%,729950,Witch Hunters: Full Moon Ceremony Collector's Edition,Purchase disabled,03/2019,,0
0.09%,817600,The Wranglers,Purchase disabled,06/2019,,0
0.09%,826390,Haunted Manor: Painted Beauties Collector's Edition,Purchase disabled,03/2019,,0
0.09%,840650,Rune Closed Test,Test app,08/2019,,?
0.09%,866720,Off the Record: The Final Interview Collector's Edition,Purchase disabled,03/2019,,0
0.09%,872530,Korean Scary Folk Tales VR : The Forbidden Book,Purchase disabled,11/2018,,0
0.09%,986950,Hyper Galactica,Purchase disabled,10/2019,,?
0.09%,992630,?????,Unreleased,04/2019,,?
0.09%,1011780,The Adventures of Golly,Unreleased,10/2019,,?
0.09%,1139700,Hunter's Arena: Legends (Closed Beta),Test app,05/2020,,?
0.09%,1152250,????,Purchase disabled,11/2020,,?
0.09%,1162360,Playmobil: The Movie VR Adventures,Unreleased,01/2020,,?
0.09%,1173550,Winning Post 9 2020,Purchase disabled,02/2023,,?
0.09%,1205630,SPORTCON,Purchase disabled,05/2021,,?
0.09%,1240490,Parallel Catastrophes Chronicles,Purchase disabled,05/2022,,?
0.09%,1471000,Nevermore - Documentary Kinetic Novel,Purchase disabled,12/2020,,1
0.09%,1579670,Pocket Mina,Purchase disabled,02/2023,,16
