Owners,AppID,Name,Type,Changed,Kinguin,Achievements
18.19%,328870,Draft Day Sports Pro Basketball 4,Delisted,04/2018,0.99,?
18.15%,92220,GundeadliGne,Purchase disabled,08/2019,1.06,12
18.15%,404770,SUPERFIGHT,F2P (unavailable),07/2021,,93
18.11%,92200,Gundemonium Recollection,Purchase disabled,08/2019,4.91,33
18.08%,301680,Psichodelya,Purchase disabled,05/2020,1.62,0
18.05%,348670,Immune,F2P (unavailable),12/2018,,10
18.04%,255920,The 7th Guest,Purchase disabled,03/2019,3.66,0
18.01%,208480,Assassin's Creed© III,Purchase disabled,03/2019,5.24,0
18.00%,347510,Rats - Time is running out!,Purchase disabled,05/2021,,12
17.95%,421650,Breach,Delisted,05/2019,0.3,0
17.93%,444460,Love is Blind: Mutants,Purchase disabled,08/2017,25.3,0
17.93%,92210,Hitogata Happa,Purchase disabled,08/2019,1.31,14
17.87%,1399780,Spellbreak,F2P (unavailable),02/2023,,11
17.85%,492800,Shonen Idle Z,F2P (unavailable),06/2023,,160
17.83%,1308380,Super Bomberman R Online,F2P (unavailable),12/2022,,12
17.83%,394130,Water Bears VR,Purchase disabled,05/2023,,12
17.80%,267750,Shadowrun Chronicles - Boston Lockdown,Purchase disabled,10/2018,,29
17.77%,585860,Bunker 58,Purchase disabled,04/2023,,0
17.68%,96300,Ravaged Zombie Apocalypse,Delisted,,12.62,?
17.63%,343990,Anti-Opoly,Purchase disabled,07/2018,0.94,0
17.53%,247730,Nether,Purchase disabled,05/2022,,0
17.48%,363790,Egg Returns Home,F2P (unavailable),09/2021,,11
17.45%,535230,Domina,Delisted,09/2022,,34
17.45%,562650,Cube Master,Delisted,02/2017,0.58,?
17.39%,456210,A Land Fit For Heroes,Purchase disabled,12/2017,1.21,0
17.34%,358240,Monuments of Mars,Purchase disabled,,366.53,0
17.29%,280200,Eterium,Purchase disabled,06/2022,,12
17.29%,317060,Attractio,Purchase disabled,02/2021,0.56,18
17.26%,300080,Total War Battles: KINGDOM,F2P (unavailable),04/2022,,0
17.24%,252570,Depths of Fear :: Knossos,Purchase disabled,01/2020,2.04,13
17.23%,44320,DiRT 3,Delisted,,4.05,?
17.22%,241540,State of Decay,Purchase disabled,,110.46,46
17.14%,11420,Clive Barker's Jericho,Delisted,,175.89,?
17.13%,413460,Draft Day Sports College Basketball 3,Delisted,04/2018,0.67,?
17.10%,386320,Naninights,Purchase disabled,08/2016,4.72,0
17.04%,436820,Waltz of the Wizard (Legacy demo),F2P (unavailable),01/2023,,0
17.01%,212740,TERA,F2P (unavailable),05/2022,,?
16.99%,601320,Schlocks,F2P (unavailable),02/2023,,0
16.98%,323460,Raiden IV: OverKill,Purchase disabled,07/2022,,47
16.94%,526920,SQUAKE,Purchase disabled,12/2019,4.32,18
16.91%,286340,FarSky,Purchase disabled,04/2022,,0
16.86%,358430,Balls of Steel,Delisted,,320.22,?
16.85%,961440,"Resident Evil 2 ""1-Shot Demo""",F2P (unavailable),02/2019,,6
16.83%,611260,Mad Machines,F2P (unavailable),07/2022,,0
16.81%,1183940,Scavengers,F2P (unavailable),11/2022,,?
16.77%,359850,Duke Nukem 3D,Delisted,,311.99,?
16.77%,310810,Shiftlings,Purchase disabled,03/2022,,29
16.73%,31700,Iron Grip: Warlord,Purchase disabled,,12.85,18
16.70%,257630,Blast Em!,Purchase disabled,02/2020,1.66,23
16.70%,275610,"Warhammer 40,000: Kill Team",Purchase disabled,12/2020,1.12,12
16.70%,291410,Duelyst,F2P (unavailable),02/2020,,10
16.67%,95000,Super Splatters,Purchase disabled,06/2019,1.51,23
16.67%,376870,Minecraft: Story Mode - A Telltale Games Series,Purchase disabled,04/2019,30.15,50
16.65%,419590,Tales from the Void,Purchase disabled,05/2023,,29
16.62%,285440,Crimzon Clover WORLD IGNITION,Purchase disabled,12/2021,,35
16.59%,219340,The Banner Saga: Factions,F2P (unavailable),02/2021,,42
