company_name,count
Matouš Pilný,1
Karel Schnelzer,1
NinePlus Studio,1
TRU FUN Entertainment,1
Generic Game Studios LLC,1
Harmonix Music Systems,1
Quiet River,1
WolfgangIs,1
Torn Banner Studios,1
QC Games,1
Dynamic zero,1
Braden Frye,1
Con Artist Games,1
Triority Interactive Novels,1
"BLACK LODGE GAMES, LLC",1
Jovian Industries,1
Game Smash,1
Dirigo Games,1
ToastieLabs,1
Lichthund,1
Sword Twin Studios,1
Tiny Rebel Games,1
Seed Studio,1
Binary Fortress Software,1
Yotsubane,1
Dystopia Interactive,1
Trendy Entertainment,1
SubZero Software,1
FIX Games,1
Persistent Studios,1
Black Riddles Studio Ltd.,1
THQ Digital Studios UK,1
Headup Games,1
Felip Guimerà,1
Organic Robot Games,1
612 Games,1
Sonic Team,1
"Wicked Fun, inc",1
Flyleap Studios Pty. Ltd.,1
Cosmic Ray Studio,1
SoMa Play,1
EVA,1
Zero Gravity,1
Codevision,1
Rusto,1
EpicStar,1
Alawar Entertainment,1
Unbroken Studios,1
Playstark,1
Nerd Kingdom Inc.,1
Magical Space Wizard,1
Playfusion,1
U.Ground Game Studio,1
Cubed Productions LLC,1
Gravity Interactive,1
Sega AM3,1
inXile Entertainment,1
Interactive Binary Illusions,1
Stone Blade Entertainment,1
"HANGZHOU ELECTRONIC SOUL NETWORK TECHNOLOGY CO., LTD",1
Dan Kenny,1
Super Hippo Studios,1
Limevision Studios,1
Nival Interactive,1
Epic Gamer World LLC,1
Nanjing AQUATRAX,1
Tencent Aurora Studios,1
Tencent Games,1
2DEngine,1
Saltclock Studio,1
Valiant Game Studio AB,1
XPEC,1
Gaijin Games,1
Clock Drive Games,1
Joshua Keith,1
Spark Plug Games,1
Goblinz Studio,1
Right Nice Games,1
The Lazy Summer,1
Oovee Game Studios,1
Core Loop Ltd,1
Eden Games,1
Sunburned Games,1
机迷工作室,1
Q Entertainment Inc.,1
MythicOwl,1
Visualnoveler,1
Only Believe Games,1
Room 301,1
Red Line Games,1
Chasing Carrots,1
Cosmic Spud,1
BucketPlay Inc.,1
Simulators Gear,1
Bended Rules,1
Wave Interactive,1
Neowiz Bless Studio,1
Playsaurus,1
Black Tower Studios,1
Krafted Games,1
WIT Entertainment,1
On5,1
Hamsters Gaming,1
Ganz,1
GNISoft,1
Iubisoft System SRL,1
"Hoplite Research, LLC",1
Aasura Project,1
Goodhustle Studios,1
Ayyo Games,1
Sword Garden Studios,1
CloudWeight Studios,1
Tamarin Studios,1
Well Played,1
Savage Entertainment,1
Little Orbit,1
Snowcastle Games,1
Virtual Dawn,1
iFun4All,1
Dante Knoxx,1
Polyphonic,1
rokaplay,1
Turtle Rock Studios,1
Joy Way,1
NSquare,1
Carbine Studios,1
Pineleaf Studio,1
Applava,1
Fntastic,1
BigBlaze Games,1
HitGrab Game Labs,1
Parul,1
Parmjit Singh,1
Vertigo Gaming,1
Tiny Titan Studios,1
NYP,1
Over the Top Games,1
Donkey Crew,1
Skunk Software,1
Mark Kondor,1
Deep Games,1
Phantagram,1
Blueside,1
ND Games,1
Sideless Cube,1
Chainsaw Games,1
Wander MMO,1
Linked Dimensions,1
Great Gretuski Studios,1
Pixel Pushers Union 512,1
Barty Games,1
Kev Jackson,1
MLB.com,1
Artplant,1
Mike T,1
橙光游戏,1
Nelson Vargas Castro,1
Magic Pockets,1
Entheogen Studios LLC,1
Jagex Ltd. Games Studio,1
Tamamo Studio,1
Trifulca Force,1
Gas Powered Games,1
SkillNest,1
Mastertronic,1
YouVisio Productions Inc.,1
KerboGames,1
ProX,1
Riko,1
RealityArts Studio,1
gamigo Publishing GmbH,1
Giant Army,1
"Case in Point Studios, LLC",1
Yonder,1
Fantastico Studio,1
Rocktastic Games,1
2020 Venture,1
"Ymir Entertainment Co., Ltd",1
AXC GAMES,1
Unbound Interacti,1
VecFour Digital,1
Flat Software,1
Denizen Seven,1
"Dragonfly GF Co., LTD",1
Playcorp Studios Pty Ltd,1
Skyjaz Games,1
Double Eleven,1
Blob Games Studio,1
Bohemia Interactive Studio,1
Gametology,1
Hungry Couch Games,1
Napoleon Games,1
Pixel Hero Games,1
Dolphin Barn,1
Joe Jobson,1
tobspr IT Solutions,1
ZootFly,1
Velan Studios,1
Overkill Software,1
Ginger Labs Inc,1
9M Interactive,1
IEP Games,1
Team Weaver,1
WANIN Games,1
Team Jolly Roger,1
电钮组,1
IndigoWare,1
Futuremark,1
Bumblebear Games,1
"Liquid Bit, LLC",1
FireForge Games,1
GameOrchard Productions,1
Edge Case Games Ltd.,1
Moment Studio,1
Quadriga Games,1
Danstarr13,1
New Reality Games,1
XGen Studios,1
SF team,1
Fenix Fire Entertainment,1
Lucid Sight,1
"Max Gaming Technologies, LLC",1
Bit Bionic LLC,1
S.R.L.,1
Double Helix Games,1
Hi-Rez Studios,1
Victor Corradi,1
ROYALCROW,1
Brain Stone GmbH,1
Ventilator Shark,1
Bad Seed,1
Aquiris Game Studio,1
Fennecai Fox Creative,1
Snowforged Entertainment,1
Rafael Mori Neiva,1
PIXEL CRUISE,1
Cyber Prophet,1
TheWgames,1
Mutiny Software,1
Playfox Games,1
LizardFactory,1
Frima Studio,1
Blacksmith Joe,1
Games Faction,1
Mojo Bones,1
GameStar,1
Propaganda Games,1
Dagestan Technology,1
Lionhead Studios,1
Akash Balloo,1
Legend Entertainment,1
Press Play,1
Red Rocket Games,1
RedBedlam,1
Fast Travel Games,1
Fuero Games,1
Silent Cube Games,1
Friendly Cactus,1
Funbox Media Ltd,1
NorfleetWorks,1
Spartanvstudios,1
Ghost roots,1
Teknopilot,1
Sarepta Studio,1
Kalypso Media Digital,1
Dectre Games,1
Lion Games Studios,1
Outpost Games,1
Planetary Annihilation Inc,1
Milestone,1
Playwith Interactive,1
So Romantic,1
EA Los Angeles,1
Williams Entertainment,1
CatDev Games,1
WRGenesis,1
Vision Reelle,1
Insane,1
Crime Opera Studios,1
Ratalaika Games,1
Psyop Games,1
Illfonic,1
Spiral House,1
Evil Twin Artworks,1
Crystal Box Team,1
Gamaya Inc,1
Event Horizon Studios,1
HitPoint Studios Inc.,1
Kojima Productions,1
